Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,R2_O08.04,41,14491,1,155.17,283.01,44.185,489.92,7.10E+06,1569.9,2.28E+07,124.16,1.80E+06,173.3,2.51E+06,122.79,1.78E+06,
1,R2_O08.04,42,6855,2,242.45,144.45,45.542,408.35,2.80E+06,1465.7,1.00E+07,108.52,7.44E+05,49.581,3.40E+05,180.78,1.24E+06,
1,R2_O08.04,43,16322,2,350.05,353.74,47.424,603.33,9.85E+06,1686.3,2.75E+07,180.67,2.95E+06,42.191,6.89E+05,233.81,3.82E+06,
1,R2_O08.04,44,8847,1,211.1,217.17,46.322,407.05,3.60E+06,1411.7,1.25E+07,146.21,1.29E+06,137.4,1.22E+06,113.85,1.01E+06,
1,R2_O08.04,46,9376,2,157.74,186.27,48.027,828.32,7.77E+06,1553.2,1.46E+07,132.02,1.24E+06,26.762,2.51E+05,176.2,1.65E+06,
1,R2_O08.04,47,10817,1,223.86,170.06,48.986,382.18,4.13E+06,1300.7,1.41E+07,270.63,2.93E+06,183.39,1.98E+06,79.112,8.56E+05,
1,R2_O08.04,48,5173,3,209.6,279.1,50.628,251.96,1.30E+06,1576.3,8.15E+06,132.43,6.85E+05,41.402,2.14E+05,164.16,8.49E+05,
,R2_O08.04,49,8529,2,363.1,208.715,53.0215,744.32,,1494.3,,57.9395,,24.5895,,74.782,,div
,R2_O08.04,51,13710,2,255.165,353.655,55.583,346.445,,1486.05,,118.115,,33.118,,155.705,,div
1,R2_O08.04,53,6895,1,164.46,252.28,54.136,339.6,2.34E+06,1473.5,1.02E+07,140.55,9.69E+05,141.36,9.75E+05,89.538,6.17E+05,
1,R2_O08.04,54,9179,3,243.14,301.82,56.855,206.11,1.89E+06,1317.6,1.21E+07,129.97,1.19E+06,25.759,2.36E+05,131.35,1.21E+06,
1,R2_O08.04,58,9961,2,263.71,144.43,59.98,440.37,4.39E+06,1500.2,1.49E+07,148.95,1.48E+06,36.277,3.61E+05,168.18,1.68E+06,
