Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,R2_J12.11,1,29687,2,226,204,9,2772.258,,,,432.933,,81.334,,688.465,,
1,R2_J12.11,2,6232,1,269.06,248.4,9.5088,1842.4,1.15E+07,1484.2,9.25E+06,1649.8,1.03E+07,830.11,5.17E+06,393.01,2.45E+06,
1,R2_J12.11,3,8653,2,277.79,205.44,9.8828,1268.6,1.10E+07,1585.7,1.37E+07,379.8,3.29E+06,61.727,5.34E+05,417.54,3.61E+06,
1,R2_J12.11,4,8821,1,231.38,251.8,13.556,2615.3,2.31E+07,1470.2,1.30E+07,3062.2,2.70E+07,326.23,2.88E+06,139.03,1.23E+06,div
1,R2_J12.11,5,11823,2,199.41,308.85,11.102,2092.1,2.47E+07,1391.4,1.65E+07,301.06,3.56E+06,54.831,6.48E+05,267.72,3.17E+06,
1,R2_J12.11,6,8581,2,325.13,241.38,12.313,1499.6,1.29E+07,1518.9,1.30E+07,311.44,2.67E+06,71.586,6.14E+05,371.54,3.19E+06,
1,R2_J12.11,7,21329,2,283.76,312.03,9.5102,1158,2.47E+07,1506.4,3.21E+07,216.49,4.62E+06,39.204,8.36E+05,221.93,4.73E+06,
1,R2_J12.11,8,10958,2,164.35,253.71,15.039,2370.8,2.60E+07,1310,1.44E+07,362.45,3.97E+06,54.184,5.94E+05,317.01,3.47E+06,
1,R2_J12.11,9,4264,3,270.93,289.22,14.85,2250.5,9.60E+06,1467.2,6.26E+06,1973.1,8.41E+06,118.37,5.05E+05,1150.4,4.91E+06,
1,R2_J12.11,10,4230,1,238.74,325.53,15.737,2629.4,1.11E+07,1353.1,5.72E+06,2332.6,9.87E+06,468.1,1.98E+06,154.19,6.52E+05,div
1,R2_J12.11,11,3742,1,191.92,238.96,18.329,1619.4,6.06E+06,1407,5.26E+06,1468.7,5.50E+06,664.85,2.49E+06,349.38,1.31E+06,
1,R2_J12.11,12,12027,1,191.46,280.23,20.851,1753.1,2.11E+07,1274.3,1.53E+07,1940.7,2.33E+07,760.48,9.15E+06,198.27,2.38E+06,
1,R2_J12.11,13,7769,2,286.93,357.79,20.922,1541.7,1.20E+07,1493.3,1.16E+07,323.47,2.51E+06,55.313,4.30E+05,407.88,3.17E+06,
1,R2_J12.11,14,6387,1,184.61,200.01,21.954,1469.1,9.38E+06,1344.6,8.59E+06,764.56,4.88E+06,525.76,3.36E+06,205.65,1.31E+06,
1,R2_J12.11,15,13296,2,355.09,315.54,24.448,1441,1.92E+07,1408,1.87E+07,207.05,2.75E+06,43.318,5.76E+05,303.65,4.04E+06,
1,R2_J12.11,16,7252,2,284.38,153.27,24.446,1432,1.04E+07,1506.7,1.09E+07,363.62,2.64E+06,53.858,3.91E+05,438.31,3.18E+06,
1,R2_J12.11,17,6638,2,221.68,373.05,24.36,2156.4,1.43E+07,1506.4,1.00E+07,342.94,2.28E+06,74.352,4.94E+05,476.43,3.16E+06,
1,R2_J12.11,19,7339,1,200.95,335.4,25.636,1974.5,1.45E+07,1544.3,1.13E+07,1744.2,1.28E+07,275.09,2.02E+06,140.35,1.03E+06,div
1,R2_J12.11,20,4004,1,215.18,255.8,25.643,1550,6.21E+06,1419.4,5.68E+06,1084.3,4.34E+06,513.52,2.06E+06,240.8,9.64E+05,
1,R2_J12.11,21,3026,1,213.64,293.72,26.647,2110.2,6.39E+06,1243.1,3.76E+06,1630.5,4.93E+06,366.11,1.11E+06,117.34,3.55E+05,div
1,R2_J12.11,22,9125,2,206.81,147.39,29.265,1870.9,1.71E+07,1496.6,1.37E+07,288.84,2.64E+06,44.144,4.03E+05,252.69,2.31E+06,
