Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,R1_D13.01,37,18919,2,217.46,407.04,55.797,577.44,1.09E+07,1477.7,2.80E+07,90.918,1.72E+06,26.875,5.08E+05,140.99,2.67E+06,
1,R1_D13.01,38,8388,3,138.77,224.17,52.675,596.44,5.00E+06,1455.2,1.22E+07,111,9.31E+05,56.609,4.75E+05,601.37,5.04E+06,
1,R1_D13.01,39,19126,2,303.59,403.39,59.011,492.07,9.41E+06,1318.6,2.52E+07,108.72,2.08E+06,41.102,7.86E+05,231.46,4.43E+06,
1,R1_D13.01,40,16317,2,359,109.66,63.217,611.97,9.99E+06,1758.1,2.87E+07,94.428,1.54E+06,100.38,1.64E+06,289.17,4.72E+06,
1,R1_D13.01,41,14356,2,136.76,163.01,63.272,402.8,5.78E+06,1575.8,2.26E+07,82.415,1.18E+06,58.194,8.35E+05,241.59,3.47E+06,
1,R1_D13.01,42,12825,3,131.04,274.24,61.089,344.94,4.42E+06,1402.3,1.80E+07,164.6,2.11E+06,67.932,8.71E+05,544.06,6.98E+06,
1,R1_D13.01,43,7186,1,114.55,314.57,62.201,827.64,5.95E+06,1432.6,1.03E+07,231.58,1.66E+06,342.28,2.46E+06,124.49,8.95E+05,div
1,R1_D13.01,44,17460,2,405.23,158.23,67.293,433.72,7.57E+06,1443.4,2.52E+07,107.98,1.89E+06,218.79,3.82E+06,179.01,3.13E+06,
1,R1_D13.01,45,10973,1,115.46,211.88,63.946,426.69,4.68E+06,1550,1.70E+07,147.15,1.61E+06,403.71,4.43E+06,163.88,1.80E+06,
1,R1_D13.01,47,12257,3,108.07,244.34,68.161,358.66,4.40E+06,1464.6,1.80E+07,88.941,1.09E+06,48.163,5.90E+05,401.27,4.92E+06,
1,R1_D13.01,48,16974,2,113.1,197.96,74.305,350.17,5.94E+06,1353.8,2.30E+07,78.242,1.33E+06,88.542,1.50E+06,163.44,2.77E+06,
1,R1_D13.01,49,16091,2,102.36,311.23,72.349,415.85,6.69E+06,1427.1,2.30E+07,94.603,1.52E+06,62.819,1.01E+06,172.42,2.77E+06,
1,R1_D13.01,50,21323,2,156.42,357.69,73.831,347.94,7.42E+06,1395.3,2.98E+07,69.169,1.47E+06,26.538,5.66E+05,125.28,2.67E+06,
1,R1_D13.01,51,21384,2,382.76,338.03,77.566,323.54,6.92E+06,1536.7,3.29E+07,73.089,1.56E+06,43.327,9.27E+05,122.17,2.61E+06,
1,R1_D13.01,52,14457,2,406.06,292.92,78.479,327.89,4.74E+06,1712.5,2.48E+07,73.193,1.06E+06,83.952,1.21E+06,118.25,1.71E+06,
1,R1_D13.01,53,5526,4,114.4,274.1,75.25,265.2,1.47E+06,1254.7,6.93E+06,130.98,7.24E+05,164.14,9.07E+05,405.36,2.24E+06,
1,R1_D13.01,54,20291,2,282.67,390.5,84.969,305.52,6.20E+06,1606.6,3.26E+07,58.665,1.19E+06,25.233,5.12E+05,121.87,2.47E+06,
1,R1_D13.01,55,14054,2,226.81,130.18,87.086,376.15,5.29E+06,2094.9,2.94E+07,40.568,5.70E+05,24.471,3.44E+05,108.09,1.52E+06,
1,R1_D13.01,56,33745,2,401.71,217.02,88.824,168.79,5.70E+06,1663.2,5.61E+07,50.428,1.70E+06,49.911,1.68E+06,94.786,3.20E+06,
1,R1_D13.01,57,25581,2,127.98,269.61,87.551,186.36,4.77E+06,1103.8,2.82E+07,57.382,1.47E+06,42.742,1.09E+06,137.95,3.53E+06,
,R1_D13.01,59,26130,2,183.305,335.105,92.3175,220.59,,1914.15,,43.5915,,19.649,,101.3275,,
1,R1_D13.01,60,18009,2,297.78,355.39,95.376,272.81,4.91E+06,1888,3.40E+07,49.524,8.92E+05,44.758,8.06E+05,193.65,3.49E+06,
1,R1_D13.01,61,28718,2,159.18,202.23,96.992,194.57,5.59E+06,1507.7,4.33E+07,41.412,1.19E+06,27.826,7.99E+05,113.96,3.27E+06,
1,R1_D13.01,62,20489,2,386.78,279.54,95.83,208.54,4.27E+06,1929.2,3.95E+07,42.937,8.80E+05,35.271,7.23E+05,133.34,2.73E+06,
1,R1_D13.01,63,11437,2,277.92,198.22,111.84,499,5.71E+06,1954.2,2.24E+07,46.541,5.32E+05,53.292,6.10E+05,122.47,1.40E+06,
1,R1_D13.01,64,14839,2,291.52,257.27,112.81,358.89,5.33E+06,1945.3,2.89E+07,52.06,7.73E+05,54.067,8.02E+05,127.88,1.90E+06,
,R1_D13.01,65,,2,355,175,19,1636.171,,,,407.917,,505.678,,736.069,,
