Embryo_ID,Area,Mean,Min,Max,Median,Slice,Frame,MinThr,MaxThr
121216Spry_Y8_mov,150.736,60.148,40,185,54,9,2,40,65535
121216Spry_Y8_mov,125.23,57.277,40,156,52,10,2,40,65535
121216Spry_Y8_mov,126.839,59.572,40,143,54,11,2,40,65535
121216Spry_Y8_mov,112.286,57.169,40,157,52,12,2,40,65535
121216Spry_Y8_mov,92.678,57.944,40,148,53,13,2,40,65535
121216Spry_Y8_mov,77.589,55.697,40,140,52,14,2,40,65535
121216Spry_Y8_mov,55.76,53.973,40,133,50,15,2,40,65535
121216Spry_Y8_mov,49.326,53.994,40,116,51,16,2,40,65535
121216Spry_Y8_mov,48.024,53.823,40,96,51,17,2,40,65535
121216Spry_Y8_mov,50.016,56.395,40,125,52,18,2,40,65535
121216Spry_Y8_mov,49.633,54.056,40,145,50,19,2,40,65535
121216Spry_Y8_mov,53.309,54.753,40,112,52,20,2,40,65535
121216Spry_Y8_mov,37.761,54.448,40,131,51,21,2,40,65535
121216Spry_Y8_mov,19.531,50.996,40,102,47,22,2,40,65535
121216Spry_Y8_mov,15.702,51.527,40,126,47,23,2,40,65535
121216Spry_Y8_mov,8.502,53.108,40,86,49,24,2,40,65535
121216Spry_Y8_mov,6.204,50.728,40,89,48,25,2,40,65535
121216Spry_Y8_mov,3.6,54.085,40,85,53,26,2,40,65535
121216Spry_Y8_mov,5.055,47.955,41,79,47,27,2,40,65535
121216Spry_Y8_mov,2.221,53.138,40,76,49,28,2,40,65535
121216Spry_Y8_mov,1.379,51.944,41,67,53,29,2,40,65535
121216Spry_Y8_mov,0.613,42.625,40,48,41,30,2,40,65535
121216Spry_Y8_mov,0.153,43,43,43,43,31,2,40,65535
121216Spry_Y8_mov,0.153,52,46,58,58,32,2,40,65535
121216Spry_Y8_mov,0.383,44.2,40,47,47,33,2,40,65535
121216Spry_Y8_mov,0,NaN,65535,38,NaN,34,2,40,65535
121216Spry_Y8_mov,0,NaN,65535,20,NaN,35,2,40,65535
121216Spry_Y8_mov,0.23,58,58,58,58,36,2,40,65535
121216Spry_Y8_mov,0,NaN,65535,29,NaN,37,2,40,65535
121216Spry_Y8_mov,0,NaN,65535,26,NaN,38,2,40,65535
121216Spry_Y8_mov,0,NaN,65535,37,NaN,39,2,40,65535
121216Spry_Y8_mov,0,NaN,65535,16,NaN,40,2,40,65535
