Exp_date,Img_date,Experiment,Litter,Embryo_ID,Gene1,Genotype1,Gene2,Genotype2,Background,Treatment,Tt_length,Tt_stage,Experimenter
20161018,20161025,101816Spry_D,D,101816Spry_D4,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161018,20161025,101816Spry_D,D,101816Spry_D5,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161018,20161025,101816Spry_D,D,101816Spry_D6,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161018,20161025,101816Spry_Ea,E,101816Spry_E1,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161018,20161025,101816Spry_Ea,E,101816Spry_E2,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161018,20161025,101816Spry_Ea,E,101816Spry_E3,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161018,20161025,101816Spry_Ea,E,101816Spry_E4,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161018,20161025,101816Spry_Ea,E,101816Spry_E5,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161018,20161025,101816Spry_Ea,E,101816Spry_E6,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161018,20161025,101816Spry_Eb,E,101816Spry_E7,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161018,20161025,101816Spry_Eb,E,101816Spry_E8,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161018,20161025,101816Spry_Eb,E,101816Spry_E9,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161018,20161025,101816Spry_Eb,E,101816Spry_E10,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161018,20161025,101816Spry_Eb,E,101816Spry_E11,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161018,20161025,101816Spry_Eb,E,101816Spry_E12,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161018,20161025,101816Spry_Eb,E,101816Spry_E13,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161005,20161025,100516CD1,100516CD1,100516CD1_1,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20161005,20161025,100516CD1,100516CD1,100516CD1_2,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20161005,20161025,100516CD1,100516CD1,100516CD1_3,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20161021,20161102,102116Spry_F,F,102116Spry_F1,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_F,F,102116Spry_F2,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_F,F,102116Spry_F3,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_F,F,102116Spry_F4,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_F,F,102116Spry_F5,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_F,F,102116Spry_F6,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_F,F,102116Spry_F7,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_F,F,102116Spry_F8,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_F,F,102116Spry_F9,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_G,G,102116Spry_G1,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_G,G,102116Spry_G2,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_G,G,102116Spry_G3,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_G,G,102116Spry_G4,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_G,G,102116Spry_G5,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_G,G,102116Spry_G6,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_G,G,102116Spry_G7,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_G,G,102116Spry_G8,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_G,G,102116Spry_G9,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_G,G,102116Spry_G10,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_G,G,102116Spry_G11,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_G,G,102116Spry_G13,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161021,20161102,102116Spry_G,G,102116Spry_G14,Spry4,unknown,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_H,H,102516Spry_H1,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_H,H,102516Spry_H2,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_H,H,102516Spry_H3,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_H,H,102516Spry_H4,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_H,H,102516Spry_H5,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_H,H,102516Spry_H6,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_H,H,102516Spry_H7,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_H,H,102516Spry_H8,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_H,H,102516Spry_H9,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_H,H,102516Spry_H10,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_I,I,102516Spry_I1,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_I,I,102516Spry_I2,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_I,I,102516Spry_I3,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_I,I,102516Spry_I4,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_I,I,102516Spry_I5,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_I,I,102516Spry_I6,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_I,I,102516Spry_I7,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_I,I,102516Spry_I8,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161025,20161102,102516Spry_I,I,102516Spry_I9,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161027,20161102,102716Spry_J,J,102716Spry_J1,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161027,20161102,102716Spry_J,J,102716Spry_J2,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161027,20161102,102716Spry_J,J,102716Spry_J3,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161027,20161102,102716Spry_J,J,102716Spry_J4,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161005,20161102,100516CD1,100516CD1,100516CD1_4,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20161005,20161102,100516CD1,100516CD1,100516CD1_5,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20161005,20161102,100516CD1,100516CD1,100516CD1_6,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20161108,20161115,110816Spry_K,K,110816_Spry_K1,Spry4,wt,any,wt,mixed/CD1,Control,48h,8cell,NS
20161108,20161115,110816Spry_K,K,110816_Spry_K2,Spry4,wt,any,wt,mixed/CD1,Control,48h,8cell,NS
20161108,20161115,110816Spry_K,K,110816_Spry_K3,Spry4,het,any,wt,mixed/CD1,Control,48h,8cell,NS
20161108,20161115,110816Spry_K,K,110816_Spry_K4,Spry4,wt,any,wt,mixed/CD1,Control,48h,8cell,NS
20161108,20161115,110816Spry_K,K,110816_Spry_K5,Spry4,het,any,wt,mixed/CD1,FGF4_1000,48h,8cell,NS
20161108,20161115,110816Spry_K,K,110816_Spry_K6,Spry4,het,any,wt,mixed/CD1,FGF4_1000,48h,8cell,NS
20161108,20161115,110816Spry_K,K,110816_Spry_K7,Spry4,het,any,wt,mixed/CD1,FGF4_1000,48h,8cell,NS
20161108,20161115,110816Spry_K,K,110816_Spry_K8,Spry4,het,any,wt,mixed/CD1,FGF4_1000,48h,8cell,NS
20161108,20161115,110816Spry_K,K,110816_Spry_K9,Spry4,het,any,wt,mixed/CD1,FGF4_1000,48h,8cell,NS
20161108,20161115,110816Spry_K,K,110816_Spry_K10,Spry4,wt,any,wt,mixed/CD1,FGF4_1000,48h,8cell,NS
20161108,20161116,110816Spry_L,L,110816_Spry_L1,Spry4,het,any,wt,mixed/CD1,Control,48h,8cell,NS
20161108,20161116,110816Spry_L,L,110816_Spry_L2,Spry4,het,any,wt,mixed/CD1,Control,48h,8cell,NS
20161108,20161116,110816Spry_L,L,110816_Spry_L3,Spry4,het,any,wt,mixed/CD1,Control,48h,8cell,NS
20161108,20161116,110816Spry_L,L,110816_Spry_L4,Spry4,het,any,wt,mixed/CD1,Control,48h,8cell,NS
20161108,20161116,110816Spry_L,L,110816_Spry_L5,Spry4,het,any,wt,mixed/CD1,Control,48h,8cell,NS
20161108,20161116,110816Spry_L,L,110816_Spry_L6,Spry4,wt,any,wt,mixed/CD1,Control,48h,8cell,NS
20161005,20161115,100516CD1,100516CD1,100516CD1_7,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20161005,20161115,100516CD1,100516CD1,100516CD1_8,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20161005,20161115,100516CD1,100516CD1,100516CD1_9,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20161005,20161115,100516CD1,100516CD1,100516CD1_10,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20161111,20161121,112116Spry_M,M,111116_Spry_M1,Spry4,wt,any,wt,mixed/CD1,Control,48h,8cell,NS
20161111,20161121,112116Spry_M,M,111116_Spry_M2,Spry4,wt,any,wt,mixed/CD1,Control,48h,8cell,NS
20161111,20161121,112116Spry_M,M,111116_Spry_M3,Spry4,het,any,wt,mixed/CD1,Control,48h,8cell,NS
20161111,20161121,112116Spry_M,M,111116_Spry_M4,Spry4,wt,any,wt,mixed/CD1,FGF4_1000,48h,8cell,NS
20161111,20161121,112116Spry_M,M,111116_Spry_M5,Spry4,het,any,wt,mixed/CD1,FGF4_1000,48h,8cell,NS
20161111,20161121,112116Spry_M,M,111116_Spry_M6,Spry4,het,any,wt,mixed/CD1,FGF4_1000,48h,8cell,NS
20161111,20161121,112116Spry_M,M,111116_Spry_M7,Spry4,het,any,wt,mixed/CD1,FGF4_1000,48h,8cell,NS
20161111,20161122,112116Spry_N,N,111116_Spry_N1,Spry4,het,any,wt,mixed/CD1,Control,48h,8cell,NS
20161111,20161122,112116Spry_N,N,111116_Spry_N2,Spry4,het,any,wt,mixed/CD1,Control,48h,8cell,NS
20161111,20161122,112116Spry_N,N,111116_Spry_N3,Spry4,wt,any,wt,mixed/CD1,Control,48h,8cell,NS
20161111,20161122,112116Spry_N,N,111116_Spry_N4,Spry4,het,any,wt,mixed/CD1,Control,48h,8cell,NS
20161111,20161122,112116Spry_N,N,111116_Spry_N5,Spry4,wt,any,wt,mixed/CD1,AZD_1,48h,8cell,NS
20161111,20161122,112116Spry_N,N,111116_Spry_N6,Spry4,het,any,wt,mixed/CD1,AZD_1,48h,8cell,NS
20161111,20161122,112116Spry_N,N,111116_Spry_N7,Spry4,wt,any,wt,mixed/CD1,AZD_1,48h,8cell,NS
20161111,20161122,112116Spry_N,N,111116_Spry_N8,Spry4,wt,any,wt,mixed/CD1,AZD_1,48h,8cell,NS
20161111,20161122,112116Spry_N,N,111116_Spry_N9,Spry4,wt,any,wt,mixed/CD1,AZD_1,48h,8cell,NS
20161111,20161122,112116Spry_N,N,111116_Spry_N10,Spry4,het,any,wt,mixed/CD1,AZD_1,48h,8cell,NS
20161111,20161122,112116Spry_N,N,111116_Spry_N12,Spry4,wt,any,wt,mixed/CD1,AZD_1,48h,8cell,NS
20161111,20161114,111116Spry_O,O,111116Spry_O1,Spry4,het,any,wt,mixed/CD1,Control,48h,8cell,NS
20161111,20161114,111116Spry_O,O,111116Spry_O2,Spry4,wt,any,wt,mixed/CD1,Control,48h,8cell,NS
20161111,20161114,111116Spry_O,O,111116Spry_O3,Spry4,wt,any,wt,mixed/CD1,Control,48h,8cell,NS
20161111,20161114,111116Spry_O,O,111116Spry_O4,Spry4,wt,any,wt,mixed/CD1,FGF4_1000,48h,8cell,NS
20161111,20161114,111116Spry_O,O,111116Spry_O5,Spry4,het,any,wt,mixed/CD1,FGF4_1000,48h,8cell,NS
20161111,20161114,111116Spry_O,O,111116Spry_O6,Spry4,wt,any,wt,mixed/CD1,FGF4_1000,48h,8cell,NS
20161111,20161114,111116Spry_O,O,111116Spry_O7,Spry4,wt,any,wt,mixed/CD1,FGF4_1000,48h,8cell,NS
20161111,20161114,111116Spry_O,O,111116Spry_O8,Spry4,het,any,wt,mixed/CD1,FGF4_1000,48h,8cell,NS
20161111,20161114,111116Spry_O,O,111116Spry_O9,Spry4,wt,any,wt,mixed/CD1,FGF4_1000,48h,8cell,NS
20161111,20161114,111116Spry_O,O,111116Spry_O10,Spry4,wt,any,wt,mixed/CD1,AZD_1,48h,8cell,NS
20161111,20161114,111116Spry_O,O,111116Spry_O11,Spry4,wt,any,wt,mixed/CD1,AZD_1,48h,8cell,NS
20161111,20161114,111116Spry_O,O,111116Spry_O12,Spry4,wt,any,wt,mixed/CD1,AZD_1,48h,8cell,NS
20161111,20161114,111116Spry_O,O,111116Spry_O13,Spry4,wt,any,wt,mixed/CD1,AZD_1,48h,8cell,NS
20161111,20161114,111116Spry_O,O,111116Spry_O14,Spry4,wt,any,wt,mixed/CD1,AZD_1,48h,8cell,NS
20161111,20161114,111116Spry_O,O,111116Spry_O15,Spry4,wt,any,wt,mixed/CD1,AZD_1,48h,8cell,NS
20161123,20161130,112316Spry_P,P,112316Spry_P1,Spry4,wt,any,wt,mixed/CD1,Control,48h,8cell,NS
20161123,20161130,112316Spry_P,P,112316Spry_P2,Spry4,wt,any,wt,mixed/CD1,Control,48h,8cell,NS
20161123,20161130,112316Spry_P,P,112316Spry_P3,Spry4,wt,any,wt,mixed/CD1,Control,48h,8cell,NS
20161123,20161130,112316Spry_P,P,112316Spry_P4,Spry4,wt,any,wt,mixed/CD1,Control,48h,8cell,NS
20161123,20161130,112316Spry_P,P,112316Spry_P5,Spry4,unknown,any,wt,mixed/CD1,PD03_1,48h,8cell,NS
20161123,20161130,112316Spry_P,P,112316Spry_P6,Spry4,unknown,any,wt,mixed/CD1,PD03_1,48h,8cell,NS
20161123,20161130,112316Spry_P,P,112316Spry_P7,Spry4,wt,any,wt,mixed/CD1,PD03_1,48h,8cell,NS
20161123,20161130,112316Spry_P,P,112316Spry_P8,Spry4,wt,any,wt,mixed/CD1,PD03_1,48h,8cell,NS
20161123,20161130,112316Spry_P,P,112316Spry_P9,Spry4,wt,any,wt,mixed/CD1,PD03_1,48h,8cell,NS
20161123,20161130,112316Spry_P,P,112316Spry_P10,Spry4,wt,any,wt,mixed/CD1,PD03_1,48h,8cell,NS
20161123,20161130,112316Spry_P,P,112316Spry_P11,Spry4,het,any,wt,mixed/CD1,PD03_1,48h,8cell,NS
20161005,20161130,100516CD1,100516CD1,100516CD1_11,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20161005,20161130,100516CD1,100516CD1,100516CD1_12,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20161005,20161130,100516CD1,100516CD1,100516CD1_13,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20161129,20161207,112916Spry_Q,Q,112916Spry_Q1,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161129,20161207,112916Spry_Q,Q,112916Spry_Q2,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161129,20161207,112916Spry_Q,Q,112916Spry_Q3,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161129,20161207,112916Spry_Q,Q,112916Spry_Q4,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161129,20161207,112916Spry_Q,Q,112916Spry_Q5,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161129,20161207,112916Spry_Q,Q,112916Spry_Q6,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161129,20161207,112916Spry_Q,Q,112916Spry_Q7,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161129,20161207,112916Spry_Q,Q,112916Spry_Q8,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161204,20161207,120416Spry_R,R,120416Spry_R1,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161204,20161207,120416Spry_R,R,120416Spry_R2,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161204,20161207,120416Spry_R,R,120416Spry_R3,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20160909,20161207,090916CD1,090916CD1,090916CD1_1,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20160909,20161207,090916CD1,090916CD1,090916CD1_2,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20160909,20161207,090916CD1,090916CD1,090916CD1_3,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20161205,20161213,120516Spry_S,S,120516Spry_S1,Spry4,het,any,wt,mixed/CD1,Control,48h,8cell,NS
20161205,20161213,120516Spry_S,S,120516Spry_S2,Spry4,het,any,wt,mixed/CD1,Control,48h,8cell,NS
20161205,20161213,120516Spry_S,S,120516Spry_S3,Spry4,het,any,wt,mixed/CD1,Control,48h,8cell,NS
20161205,20161213,120516Spry_S,S,120516Spry_S4,Spry4,het,any,wt,mixed/CD1,Control,48h,8cell,NS
20161205,20161213,120516Spry_S,S,120516Spry_S5,Spry4,wt,any,wt,mixed/CD1,Control,48h,8cell,NS
20161205,20161213,120516Spry_S,S,120516Spry_S6,Spry4,wt,any,wt,mixed/CD1,Control,48h,8cell,NS
20161205,20161213,120516Spry_S,S,120516Spry_S7,Spry4,het,any,wt,mixed/CD1,PD03_1,48h,8cell,NS
20161205,20161213,120516Spry_S,S,120516Spry_S8,Spry4,het,any,wt,mixed/CD1,PD03_1,48h,8cell,NS
20161205,20161213,120516Spry_S,S,120516Spry_S9,Spry4,het,any,wt,mixed/CD1,PD03_1,48h,8cell,NS
20161205,20161213,120516Spry_S,S,120516Spry_S10,Spry4,het,any,wt,mixed/CD1,PD03_1,48h,8cell,NS
20161205,20161213,120516Spry_S,S,120516Spry_S11,Spry4,het,any,wt,mixed/CD1,PD03_1,48h,8cell,NS
20161205,20161213,120516Spry_S,S,120516Spry_S12,Spry4,wt,any,wt,mixed/CD1,PD03_1,48h,8cell,NS
20161205,20161213,120516Spry_S,S,120516Spry_S13,Spry4,wt,any,wt,mixed/CD1,PD03_1,48h,8cell,NS
20161205,20161213,120516Spry_S,S,120516Spry_S14,Spry4,wt,any,wt,mixed/CD1,PD03_1,48h,8cell,NS
20161205,20161213,120516Spry_S,S,120516Spry_S15,Spry4,het,any,wt,mixed/CD1,PD03_1,48h,8cell,NS
20161208,20161213,120816Spry_U,U,120816Spry_U1,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161208,20161213,120816Spry_U,U,120816Spry_U2,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161208,20161213,120816Spry_U,U,120816Spry_U3,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161208,20161213,120816Spry_U,U,120816Spry_U4,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161208,20161213,120816Spry_V,V,120816Spry_V1,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161208,20161213,120816Spry_V,V,120816Spry_V2,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161208,20161213,120816Spry_V,V,120816Spry_V3,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161208,20161213,120816Spry_V,V,120816Spry_V4,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161208,20161213,120816Spry_V,V,120816Spry_V5,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161208,20161213,120816Spry_V,V,120816Spry_V6,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161208,20161213,120816Spry_V,V,120816Spry_V7,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161208,20161213,120816Spry_V,V,120816Spry_V8,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161208,20161213,120816Spry_V,V,120816Spry_V9,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161208,20161213,120816Spry_V,V,120816Spry_V10,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161212,20161213,121216Spry_W,W,121216Spry_W1,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161212,20161213,121216Spry_W,W,121216Spry_W2,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161212,20161213,121216Spry_W,W,121216Spry_W3,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161212,20161213,121216Spry_W,W,121216Spry_W4,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161212,20161213,121216Spry_W,W,121216Spry_W5,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161212,20161213,121216Spry_X,X,121216Spry_X1,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161212,20161213,121216Spry_X,X,121216Spry_X2,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161212,20161213,121216Spry_X,X,121216Spry_X3,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161212,20161213,121216Spry_X,X,121216Spry_X4,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161212,20161213,121216Spry_X,X,121216Spry_X5,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161212,20161213,121216Spry_X,X,121216Spry_X6,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161212,20161213,121216Spry_X,X,121216Spry_X7,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20160909,20161213,090916CD1,090916CD1,090916CD1_4,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20160909,20161213,090916CD1,090916CD1,090916CD1_5,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20160909,20161213,090916CD1,090916CD1,090916CD1_6,Spry4,wt,any,wt,mixed/CD1,neg.control,NA,NA,NS
20161212,20161215,121216Spry_Y,Y,121216Spry_Y1,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161212,20161215,121216Spry_Y,Y,121216Spry_Y2,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161212,20161215,121216Spry_Y,Y,121216Spry_Y3,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161212,20161215,121216Spry_Y,Y,121216Spry_Y4,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161212,20161215,121216Spry_Y,Y,121216Spry_Y5,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161212,20161215,121216Spry_Y,Y,121216Spry_Y6,Spry4,het,any,wt,mixed/CD1,Control,14h,64_90,NS
20161212,20161215,121216Spry_Y,Y,121216Spry_Y7,Spry4,het,any,wt,mixed/CD1,Control,14h,64_90,NS
20161212,20161215,121216Spry_Y,Y,121216Spry_Y8,Spry4,het,any,wt,mixed/CD1,Control,14h,64_90,NS
