Exp_date,Img_date,Experiment,Litter,Embryo_ID,Gene1,Genotype1,Gene2,Genotype2,Background,Treatment,Tt_length,Tt_stage,Experimenter
20161012,20161025,101216Spry4_A,A,101216Spry4_A1,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161012,20161025,101216Spry4_A,A,101216Spry4_A2,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161012,20161025,101216Spry4_A,A,101216Spry4_A3,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161014,20161025,101416Spry4_Ba,B,101416Spry4_B1,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161014,20161025,101416Spry4_Ba,B,101416Spry4_B2,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161014,20161025,101416Spry4_Ba,B,101416Spry4_B3,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161014,20161025,101416Spry4_Ba,B,101416Spry4_B4,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161014,20161025,101416Spry4_Ba,B,101416Spry4_B5,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161014,20161025,101416Spry4_Ba,B,101416Spry4_B6,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161014,20161025,101416Spry4_Bb,B,101416Spry4_B7,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161014,20161025,101416Spry4_Bb,B,101416Spry4_B8,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161014,20161025,101416Spry4_Bb,B,101416Spry4_B9,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161014,20161025,101416Spry4_Bb,B,101416Spry4_B10,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161014,20161025,101416Spry4_Bb,B,101416Spry4_B11,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161017,20161025,101716Spry_C,C,101716Spry_C1,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161017,20161025,101716Spry_C,C,101716Spry_C2,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161018,20161025,101816Spry_D,D,101816Spry_D1,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161018,20161025,101816Spry_D,D,101816Spry_D2,Spry4,het,any,wt,mixed/CD1,Littermate,NA,NA,NS
20161018,20161025,101816Spry_D,D,101816Spry_D3,Spry4,wt,any,wt,mixed/CD1,Littermate,NA,NA,NS
