Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum,,, 
041817Spry_AI3,11,TE,I,7528,370.56,262.25,14.287,2263.5,1.70E+07,35.238,2.65E+05,37.985,2.86E+05,1088,8.19E+06,262.34,1.97E+06,,,
041817Spry_AI3,12,ICM,I,6383,128.92,266.76,14.547,2381.8,1.52E+07,40.415,2.58E+05,320.89,2.05E+06,1014.7,6.48E+06,171.18,1.09E+06,,,
041817Spry_AI3,13,TE,I,11003,116.62,195.05,15.944,1854.6,2.04E+07,34.152,3.76E+05,44.207,4.86E+05,1113,1.22E+07,190.98,2.10E+06,,,
041817Spry_AI3,14,TE,I,9907,381.57,224.18,15.796,2497.2,2.47E+07,38.026,3.77E+05,35.868,3.55E+05,1094.8,1.08E+07,143.48,1.42E+06,,,
041817Spry_AI3,15,ICM,I,9856,169.83,298.49,18.657,1722.6,1.70E+07,34.033,3.35E+05,46.766,4.61E+05,991.07,9.77E+06,674.28,6.65E+06,,,
041817Spry_AI3,16,TE,I,9576,187.3,354.8,18.036,1892.6,1.81E+07,31.301,3.00E+05,27.635,2.65E+05,1124.5,1.08E+07,109.92,1.05E+06,,,
041817Spry_AI3,17,TE,I,8956,213.25,135.03,18.777,1495.8,1.34E+07,30.544,2.74E+05,31.262,2.80E+05,1071.9,9.60E+06,154.14,1.38E+06,,,
041817Spry_AI3,18,ICM,I,8397,179.07,170.11,18.056,1625.4,1.36E+07,36.628,3.08E+05,508.87,4.27E+06,1041.7,8.75E+06,61.461,5.16E+05,,,
041817Spry_AI3,19,TE,I,14053,119.35,323.59,21.806,2554,3.59E+07,35.456,4.98E+05,48.202,6.77E+05,1121.2,1.58E+07,215.5,3.03E+06,,,
041817Spry_AI3,20,ICM,M,4193,133.31,295.03,18.457,3242.1,1.36E+07,33.831,1.42E+05,156.83,6.58E+05,1123,4.71E+06,57.209,2.40E+05,,,
041817Spry_AI3,21,TE,I,8261,271.87,111.79,22.804,1403.7,1.16E+07,31.85,2.63E+05,32.946,2.72E+05,1044.2,8.63E+06,179.45,1.48E+06,,,
041817Spry_AI3,22,ICM,I,4947,135.06,197.16,22.21,2038,1.01E+07,34.112,1.69E+05,119.28,5.90E+05,1002.4,4.96E+06,408.93,2.02E+06,,,
041817Spry_AI3,23,ICM,I,6030,131.61,227.5,21.203,2052,1.24E+07,37.183,2.24E+05,320.97,1.94E+06,1064.1,6.42E+06,415.95,2.51E+06,,,
041817Spry_AI3,24,TE,I,5265,172.67,134.19,25.638,1825,9.61E+06,32.184,1.69E+05,27.497,1.45E+05,1086.8,5.72E+06,100.53,5.29E+05,,,
041817Spry_AI3,25,ICM,I,4295,153.69,177.83,24.025,1739.4,7.47E+06,32.676,1.40E+05,305.92,1.31E+06,1082.9,4.65E+06,450.91,1.94E+06,,,
041817Spry_AI3,26,ICM,M,5058,101.08,258.57,26.221,2498.8,1.26E+07,31.247,1.58E+05,138.28,6.99E+05,1081.2,5.47E+06,78.528,3.97E+05,,,
041817Spry_AI3,27,TE,I,5048,114.3,167.97,27.409,2141.3,1.08E+07,27.891,1.41E+05,28.008,1.41E+05,1168.9,5.90E+06,90.602,4.57E+05,,,
041817Spry_AI3,28,ICM,I,5791,109.54,216.61,26.525,1803.5,1.04E+07,32.485,1.88E+05,286.72,1.66E+06,1031.4,5.97E+06,174.27,1.01E+06,,,
041817Spry_AI3,29,ICM,I,10691,159.35,244.55,28.72,1005.6,1.08E+07,25.935,2.77E+05,54.605,5.84E+05,991.93,1.06E+07,387.78,4.15E+06,,,
041817Spry_AI3,30,TE,I,7729,413.26,258.84,27.911,1710.9,1.32E+07,29.476,2.28E+05,28.11,2.17E+05,1078.7,8.34E+06,123.81,9.57E+05,,,
041817Spry_AI3,31,TE,I,8088,354.68,375.14,30.318,2107.8,1.70E+07,32.01,2.59E+05,27.814,2.25E+05,1050.1,8.49E+06,135.52,1.10E+06,,,
041817Spry_AI3,32,ICM,I,8609,162.9,169.77,31.598,1192.3,1.03E+07,26.284,2.26E+05,67.149,5.78E+05,1054,9.07E+06,410.73,3.54E+06,,,
041817Spry_AI3,33,TE,I,7753,408.36,302.82,32.365,1828.7,1.42E+07,31.161,2.42E+05,31.705,2.46E+05,1034,8.02E+06,219.55,1.70E+06,,,
041817Spry_AI3,34,TE,I,8057,377.53,141.34,33.723,1110.5,8.95E+06,28.205,2.27E+05,28.634,2.31E+05,1139.7,9.18E+06,90.937,7.33E+05,,,
041817Spry_AI3,35,ICM,I,4876,128.86,240.27,30.73,1377.4,6.72E+06,29.547,1.44E+05,330.6,1.61E+06,1053.3,5.14E+06,76.642,3.74E+05,,,
041817Spry_AI3,36,TE,I,11889,187.97,390.5,35.453,2064.9,2.45E+07,27.075,3.22E+05,26.339,3.13E+05,1127,1.34E+07,151.67,1.80E+06,,,
041817Spry_AI3,37,TE,I,12286,338.8,108.31,36.284,909.73,1.12E+07,22.301,2.74E+05,23.462,2.88E+05,1152,1.42E+07,64.657,7.94E+05,,,
041817Spry_AI3,38,ICM,M,9978,123.02,315.22,32.903,2323.8,2.32E+07,27.074,2.70E+05,123.07,1.23E+06,1086.5,1.08E+07,52.61,5.25E+05,,,
041817Spry_AI3,39,ICM,I,6165,93.281,255.74,34.738,1697.1,1.05E+07,26.107,1.61E+05,66.949,4.13E+05,1083.9,6.68E+06,513.4,3.17E+06,,,
041817Spry_AI3,40,ICM,I,4435,152.31,297,32.09,1249.1,5.54E+06,25.803,1.14E+05,40.525,1.80E+05,1052.4,4.67E+06,392.1,1.74E+06,,,
041817Spry_AI3,41,TE,I,10793,411.91,182.5,36.622,1190,1.28E+07,29.938,3.23E+05,27.762,3.00E+05,1172.6,1.27E+07,62.27,6.72E+05,,,
041817Spry_AI3,42,TE,I,13317,304.67,408.31,39.458,2233.4,2.97E+07,25.25,3.36E+05,26.563,3.54E+05,1100.9,1.47E+07,218.12,2.90E+06,,,
041817Spry_AI3,43,TE,I,10429,205.47,104.82,39.462,1227.9,1.28E+07,27.871,2.91E+05,26.238,2.74E+05,1056.6,1.10E+07,121.74,1.27E+06,,,
041817Spry_AI3,44,ICM,I,6395,127.13,187.28,35.557,991.28,6.34E+06,27.167,1.74E+05,126.25,8.07E+05,963.49,6.16E+06,198.51,1.27E+06,,,
041817Spry_AI3,45,TE,I,8357,386.93,366.99,40.503,1662.8,1.39E+07,29.662,2.48E+05,29.486,2.46E+05,1087.6,9.09E+06,163.39,1.37E+06,,,
041817Spry_AI3,46,ICM,I,5485,99.057,286.59,38.273,1149.2,6.30E+06,25.529,1.40E+05,56.916,3.12E+05,959.65,5.26E+06,322.11,1.77E+06,,,
041817Spry_AI3,47,TE,I,9161,270.95,87.332,43.753,861.52,7.89E+06,23.192,2.12E+05,23.908,2.19E+05,1013.2,9.28E+06,100.81,9.24E+05,,,
041817Spry_AI3,48,ICM,I,7706,150.26,334.57,41.271,976.93,7.53E+06,23.531,1.81E+05,38.215,2.94E+05,978.15,7.54E+06,341.98,2.64E+06,,,
041817Spry_AI3,49,TE,I,7361,433.18,277.36,45.818,1241.3,9.14E+06,25.773,1.90E+05,25.995,1.91E+05,1290,9.50E+06,201.09,1.48E+06,,,
041817Spry_AI3,50,TE,I,11491,123.06,165.06,48.701,786.61,9.04E+06,21.991,2.53E+05,25.196,2.90E+05,974.66,1.12E+07,91.896,1.06E+06,,,
041817Spry_AI3,51,ICM,I,11016,140.74,239.75,44.135,540.07,5.95E+06,22.083,2.43E+05,45.712,5.04E+05,1022.9,1.13E+07,244.81,2.70E+06,,,
041817Spry_AI3,52,ICM,I,7204,117.8,204.12,47.593,702.95,5.06E+06,21.715,1.56E+05,40.442,2.91E+05,951.37,6.85E+06,249.97,1.80E+06,,,
041817Spry_AI3,53,ICM,I,8371,129.15,282.52,48.581,496.33,4.15E+06,21.744,1.82E+05,38.856,3.25E+05,1070.9,8.96E+06,274.9,2.30E+06,,,
041817Spry_AI3,54,TE,I,11904,130.73,353.22,51.947,828.61,9.86E+06,20.677,2.46E+05,21.197,2.52E+05,984.97,1.17E+07,60.822,7.24E+05,,,
041817Spry_AI3,55,TE,I,10001,90.59,254.53,49.619,775.54,7.76E+06,22.63,2.26E+05,26.044,2.60E+05,1001.7,1.00E+07,104.68,1.05E+06,,,
041817Spry_AI3,56,TE,I,14014,386.47,134.38,51.429,390.98,5.48E+06,19.457,2.73E+05,20.526,2.88E+05,1036.3,1.45E+07,48.803,6.84E+05,,,
041817Spry_AI3,57,TE,I,11460,434.01,215.02,53.898,603.07,6.91E+06,21.872,2.51E+05,21.876,2.51E+05,1032.2,1.18E+07,50.65,5.80E+05,,,
041817Spry_AI3,58,TE,I,9967,124.64,316.98,53.892,647.88,6.46E+06,22.094,2.20E+05,37.769,3.76E+05,1050.8,1.05E+07,157.65,1.57E+06,,,
041817Spry_AI3,59,TE,I,10603,406.17,341.93,57.077,760.26,8.06E+06,21.867,2.32E+05,22.092,2.34E+05,936.92,9.93E+06,67.447,7.15E+05,,,
041817Spry_AI3,60,TE,I,8895,419.29,175.22,56.325,514.03,4.57E+06,19.551,1.74E+05,19.185,1.71E+05,871.89,7.76E+06,45.491,4.05E+05,,,
041817Spry_AI3,61,ICM,I,6621,123.52,259.98,58.281,328.31,2.17E+06,17.958,1.19E+05,88.325,5.85E+05,896.75,5.94E+06,58.536,3.88E+05,,,
041817Spry_AI3,62,TE,I,11086,431.92,288.49,60.771,723.53,8.02E+06,24.172,2.68E+05,25.65,2.84E+05,945.94,1.05E+07,64.305,7.13E+05,,,
041817Spry_AI3,63,TE,I,12168,274.32,416.97,65.563,914.24,1.11E+07,18.893,2.30E+05,19.677,2.39E+05,960.53,1.17E+07,50.9,6.19E+05,,,
041817Spry_AI3,64,TE,I,16600,119.77,234.7,70.321,290.37,4.82E+06,15.659,2.60E+05,20.539,3.41E+05,861.48,1.43E+07,35.851,5.95E+05,,,
041817Spry_AI3,65,TE,I,15725,212.64,388.63,69.532,744.37,1.17E+07,16.608,2.61E+05,18.063,2.84E+05,1040.8,1.64E+07,84.37,1.33E+06,,,
041817Spry_AI3,67,TE,I,11844,320.84,396.92,69.194,633.45,7.50E+06,18.403,2.18E+05,19.313,2.29E+05,1072.1,1.27E+07,59.943,7.10E+05,,,
041817Spry_AI3,68,TE,I,13740,423.67,211.91,70.791,336.84,4.63E+06,18.27,2.51E+05,20.456,2.81E+05,909.47,1.25E+07,40.791,5.60E+05,,,
041817Spry_AI3,69,TE,I,10166,423.83,267.16,73.751,503.42,5.12E+06,19.798,2.01E+05,20.066,2.04E+05,971.41,9.88E+06,53.624,5.45E+05,,,
041817Spry_AI3,70,TE,I,14828,330.3,118.46,75.252,339.49,5.03E+06,14.687,2.18E+05,15.138,2.24E+05,1230,1.82E+07,32.709,4.85E+05,,,
041817Spry_AI3,71,TE,I,16715,148.61,280.59,76.16,172.05,2.88E+06,15.138,2.53E+05,16.905,2.83E+05,811.16,1.36E+07,48.593,8.12E+05,,,
041817Spry_AI3,72,TE,I,15117,168.44,164.97,78.667,212.2,3.21E+06,13.888,2.10E+05,14.397,2.18E+05,1052.7,1.59E+07,34.112,5.16E+05,,,
041817Spry_AI3,73,TE,I,13206,383.79,344.36,75.69,423.82,5.60E+06,17.06,2.25E+05,17.796,2.35E+05,1090.8,1.44E+07,35.695,4.71E+05,,,
041817Spry_AI3,74,TE,I,11737,233.15,134.74,79.492,371.78,4.36E+06,14.886,1.75E+05,15.344,1.80E+05,1122.4,1.32E+07,36.788,4.32E+05,,,
041817Spry_AI3,75,TE,I,10961,379.81,175.71,83.608,353.46,3.87E+06,15.854,1.74E+05,15.622,1.71E+05,1181.6,1.30E+07,29.99,3.29E+05,,,
041817Spry_AI3,76,TE,I,10291,402.97,241.35,84.537,452.24,4.65E+06,17.226,1.77E+05,16.893,1.74E+05,1184.9,1.22E+07,40.765,4.20E+05,,,
041817Spry_AI3,77,TE,I,13229,292.64,367.32,85.473,519.82,6.88E+06,16.359,2.16E+05,16.201,2.14E+05,1173,1.55E+07,42.383,5.61E+05,,,
041817Spry_AI3,78,TE,I,19828,182.68,257.71,88.068,171.37,3.40E+06,13.676,2.71E+05,13.96,2.77E+05,1026.1,2.03E+07,35.924,7.12E+05,,,
041817Spry_AI3,79,TE,I,28104,215.15,336.71,88.071,333.58,9.37E+06,14.124,3.97E+05,14.13,3.97E+05,1184,3.33E+07,26.486,7.44E+05,,,
041817Spry_AI3,80,TE,I,13162,347.75,167.18,89.833,334.25,4.40E+06,15.687,2.06E+05,15.776,2.08E+05,1201.3,1.58E+07,32.799,4.32E+05,,,
041817Spry_AI3,81,TE,I,10653,375.8,274.88,90.19,558.74,5.95E+06,16.962,1.81E+05,17.428,1.86E+05,1127.4,1.20E+07,55.306,5.89E+05,,,
041817Spry_AI3,82,TE,I,14113,341.15,325.55,90.379,501.93,7.08E+06,16.307,2.30E+05,16.094,2.27E+05,1151.4,1.63E+07,37.495,5.29E+05,,,
041817Spry_AI3,83,TE,I,13222,293.2,282.61,92.773,470.25,6.22E+06,15.319,2.03E+05,15.457,2.04E+05,1152.4,1.52E+07,51.552,6.82E+05,,,
041817Spry_AI3,84,TE,I,10715,344.34,237.09,93.327,498.26,5.34E+06,16.922,1.81E+05,17.078,1.83E+05,1140.6,1.22E+07,40.884,4.38E+05,,,
041817Spry_AI3,85,TE,M,9646,272.42,182.72,93.863,737.1,7.11E+06,14.067,1.36E+05,13.532,1.31E+05,1177.4,1.14E+07,19.903,1.92E+05,,,
