Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum,,, 
041817Spry_AI3,1,TE,I,15985,241.97,205.91,4.8168,2039.2,3.26E+07,37.176,5.94E+05,36.623,5.85E+05,1096.6,1.75E+07,264.43,4.23E+06,,,
041817Spry_AI3,2,TE,I,6765,225.22,263.09,3.512,2603.8,1.76E+07,41.453,2.80E+05,38.642,2.61E+05,1110.8,7.51E+06,193.94,1.31E+06,,,
041817Spry_AI3,3,TE,I,13324,282.23,284.85,4.6615,2294.6,3.06E+07,32.994,4.40E+05,39.255,5.23E+05,1088.2,1.45E+07,270.6,3.61E+06,,,
041817Spry_AI3,4,TE,I,8181,154.34,274.82,6.1477,2649.5,2.17E+07,43.359,3.55E+05,40.527,3.32E+05,959.49,7.85E+06,199.13,1.63E+06,,,
041817Spry_AI3,5,TE,I,8874,174.98,186.73,7.8063,2138.2,1.90E+07,35.413,3.14E+05,58.648,5.20E+05,1022,9.07E+06,177.43,1.57E+06,,,
041817Spry_AI3,6,TE,I,13500,340.85,173.07,11.641,1889.2,2.55E+07,34.252,4.62E+05,31.179,4.21E+05,1080,1.46E+07,81.264,1.10E+06,,,
041817Spry_AI3,7,ICM,I,21212,173,220,10,2439.884,,39.222,,470.299,,1019.635,,450.709,,,,
041817Spry_AI3,7.2,ICM,I,21212,192,232,15,1819.551,,34.538,,78.2,,1118.638,,924.766,,,,
041817Spry_AI3,8,ICM,I,10079,122.44,234.97,11.748,2036.5,2.05E+07,38.986,3.93E+05,501.73,5.06E+06,1043.2,1.05E+07,87.888,8.86E+05,,,
041817Spry_AI3,9,TE,I,8542,348.57,329.92,13.309,2290,1.96E+07,33.746,2.88E+05,32.923,2.81E+05,1109.9,9.48E+06,140.85,1.20E+06,,,
041817Spry_AI3,10,TE,I,8042,303.52,138.56,14.346,1542.3,1.24E+07,32.87,2.64E+05,34.78,2.80E+05,1122.7,9.03E+06,175.3,1.41E+06,,,
