Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, ,
122717Spry_BJ6,11.2,TE,I,34637,89,299,8,2104.884,,498.039,,76.195,,411.337,,366.533,,,
122717Spry_BJ6,11.3,ICM,I,34637,53,285,11,2264.051,,1145.091,,490.86,,376.489,,227.041,,,
122717Spry_BJ6,11.4,ICM,I,34637,89,280,14,2027.774,,794.644,,585.277,,389.493,,234.649,,,
122717Spry_BJ6,12,TE,I,5794,391.29,279.5,10.812,1837.7,1.06E+07,432.54,2.51E+06,57.104,3.31E+05,383.49,2.22E+06,276.31,1.60E+06,,
122717Spry_BJ6,13,TE,I,9898,285.8,290.68,9.0023,1587.8,1.57E+07,351.46,3.48E+06,51.462,5.09E+05,428.08,4.24E+06,223.02,2.21E+06,,
122717Spry_BJ6,14,TE,I,12579,158.47,303.74,8.3745,1588.2,2.00E+07,347.57,4.37E+06,49.334,6.21E+05,405.27,5.10E+06,215.64,2.71E+06,,
122717Spry_BJ6,15,TE,I,6329,366.8,305.09,9.3162,1641.5,1.04E+07,448.12,2.84E+06,62.198,3.94E+05,407.57,2.58E+06,451.24,2.86E+06,,
122717Spry_BJ6,16,TE,I,7105,328.71,331.1,8.411,1460.1,1.04E+07,333.83,2.37E+06,52.136,3.70E+05,385.66,2.74E+06,217.81,1.55E+06,,
122717Spry_BJ6,17,TE,I,11929,408,353,11,2326.596,,615.167,,71.676,,387.828,,422.162,,,
122717Spry_BJ6,17.2,TE,I,11929,424,336,11,2063.289,,572.172,,69.504,,378.486,,388.197,,,
122717Spry_BJ6,18,TE,I,6838,364.99,359.38,8.6082,1382.6,9.45E+06,448.29,3.07E+06,57.057,3.90E+05,401.17,2.74E+06,503.47,3.44E+06,,
122717Spry_BJ6,19,TE,I,9417,250.41,360.11,8.9296,1844.2,1.74E+07,427.49,4.03E+06,54.06,5.09E+05,404.78,3.81E+06,232.89,2.19E+06,,
122717Spry_BJ6,20,TE,I,10552,181.4,388.02,8.3469,1514.2,1.60E+07,344.32,3.63E+06,46.285,4.88E+05,386.07,4.07E+06,218.79,2.31E+06,,
122717Spry_BJ6,21,TE,I,7791,162.99,146.32,11.197,2751.6,2.14E+07,418.09,3.26E+06,54.154,4.22E+05,366.61,2.86E+06,233.28,1.82E+06,,
122717Spry_BJ6,22,TE,I,9057,251.51,151.91,11.06,2724.9,2.47E+07,433.94,3.93E+06,53.883,4.88E+05,403.31,3.65E+06,265.61,2.41E+06,,
122717Spry_BJ6,23,ICM,I,8201,140.71,196.55,11.412,2226.2,1.83E+07,1797.9,1.47E+07,101.74,8.34E+05,416.7,3.42E+06,1215.1,9.97E+06,,
122717Spry_BJ6,24,TE,I,6042,406.88,241,11.694,1877.4,1.13E+07,535.56,3.24E+06,58.97,3.56E+05,390.76,2.36E+06,288.23,1.74E+06,,
122717Spry_BJ6,25,TE,I,11047,327.21,382.44,12.006,1531.9,1.69E+07,402.07,4.44E+06,55.12,6.09E+05,401.41,4.43E+06,237.72,2.63E+06,,
122717Spry_BJ6,26,TE,I,8079,299.46,149.7,12.613,2752.8,2.22E+07,394.91,3.19E+06,51.452,4.16E+05,384,3.10E+06,247.25,2.00E+06,,
122717Spry_BJ6,27,TE,I,10484,436.22,169.95,13.599,2349.7,2.46E+07,408.32,4.28E+06,49.811,5.22E+05,379.86,3.98E+06,261.7,2.74E+06,,
122717Spry_BJ6,28,ICM,I,12733,123.99,223.79,15.319,2465,3.14E+07,1291.1,1.64E+07,92.969,1.18E+06,394.6,5.02E+06,1127.6,1.44E+07,,
122717Spry_BJ6,28.2,ICM,I,12733,117,246,22,1175.239,,509.797,,291.099,,377.793,,277.296,,,
122717Spry_BJ6,29,ICM,I,8211,135.09,265.15,13.981,1831.3,1.50E+07,797.53,6.55E+06,83.452,6.85E+05,366.74,3.01E+06,1694.6,1.39E+07,,
122717Spry_BJ6,30,ICM,I,9050,195.52,359.77,13.717,1605.2,1.45E+07,1215.5,1.10E+07,87.98,7.96E+05,389.66,3.53E+06,1386.1,1.25E+07,,
122717Spry_BJ6,31,TE,I,10247,325.29,118.06,15.739,2401.5,2.46E+07,336.44,3.45E+06,49.82,5.11E+05,412.56,4.23E+06,226.31,2.32E+06,,
122717Spry_BJ6,32,ICM,I,8750,208.95,262.87,15.567,1862.2,1.63E+07,1174.9,1.03E+07,78.008,6.83E+05,395.6,3.46E+06,1212.6,1.06E+07,,
122717Spry_BJ6,33,TE,I,8373,382.22,136.46,16.997,2451.4,2.05E+07,345.08,2.89E+06,44.326,3.71E+05,391.49,3.28E+06,257.16,2.15E+06,,
122717Spry_BJ6,34,TE,I,9946,81.759,151.4,19.462,2100.4,2.09E+07,389.81,3.88E+06,47.121,4.69E+05,371.54,3.70E+06,243.13,2.42E+06,,
122717Spry_BJ6,34.2,ICM,I,9946,101,160,23,1253.96,,919.069,,67.387,,446.419,,977.015,,,
122717Spry_BJ6,35,ICM,I,8691,83.122,185.74,16.858,1899.3,1.65E+07,794.83,6.91E+06,568.18,4.94E+06,358.19,3.11E+06,228.26,1.98E+06,,
122717Spry_BJ6,36,TE,I,6182,252.05,104.81,19.332,2301.5,1.42E+07,320.49,1.98E+06,37.65,2.33E+05,408.54,2.53E+06,220.79,1.36E+06,,
122717Spry_BJ6,37,ICM,I,1820,76.731,228.48,14,1714.503,,671.093,,568.253,,460.956,,195.919,,,
122717Spry_BJ6,38,ICM,I,6438,90.067,283.87,21.395,1471.2,9.47E+06,663.41,4.27E+06,312.46,2.01E+06,377.69,2.43E+06,153.67,9.89E+05,,
122717Spry_BJ6,39,ICM,I,5438,118.99,310.27,20.375,1002.6,5.45E+06,778.6,4.23E+06,241.17,1.31E+06,336.92,1.83E+06,120.13,6.53E+05,,
122717Spry_BJ6,40,ICM,I,6604,138.15,145.42,20.61,1803.8,1.19E+07,887.17,5.86E+06,62.041,4.10E+05,395.94,2.61E+06,835.44,5.52E+06,,
122717Spry_BJ6,41,ICM,I,6817,66.363,249.38,18.899,1544.1,1.05E+07,892.69,6.09E+06,385.39,2.63E+06,410.08,2.80E+06,162.14,1.11E+06,,
122717Spry_BJ6,42,TE,I,9480,430.1,288.78,22.221,1237.6,1.17E+07,311.97,2.96E+06,38.496,3.65E+05,394.93,3.74E+06,179.56,1.70E+06,,
122717Spry_BJ6,43,ICM,I,10568,167.88,345.79,22.492,1229.3,1.30E+07,1301.6,1.38E+07,71.749,7.58E+05,436.98,4.62E+06,1017.2,1.08E+07,,
122717Spry_BJ6,44,TE,I,8317,146.05,376.5,22.267,1379.5,1.15E+07,253.96,2.11E+06,35.275,2.93E+05,381.62,3.17E+06,151.85,1.26E+06,,
122717Spry_BJ6,45,TE,I,4557,271.15,96.176,23.235,2127.2,9.69E+06,316.22,1.44E+06,37.068,1.69E+05,407.2,1.86E+06,230.08,1.05E+06,,
122717Spry_BJ6,46,TE,I,6958,123.23,111.72,23.434,2753.1,1.92E+07,317.47,2.21E+06,34.669,2.41E+05,401.54,2.79E+06,159.83,1.11E+06,,
122717Spry_BJ6,47,TE,I,7017,352.47,379.48,23.571,1280,8.98E+06,232.05,1.63E+06,34.332,2.41E+05,405.4,2.84E+06,145.69,1.02E+06,,
122717Spry_BJ6,48,TE,I,11210,274.66,390.2,23.298,1103.8,1.24E+07,296.74,3.33E+06,39.999,4.48E+05,392.08,4.40E+06,163.25,1.83E+06,,
122717Spry_BJ6,49,ICM,I,4331,144.89,283.07,23.624,1370.8,5.94E+06,671.02,2.91E+06,54.11,2.34E+05,452.88,1.96E+06,661.33,2.86E+06,,
122717Spry_BJ6,50,ICM,I,2036,56.867,279.43,23.036,1115.7,2.27E+06,600.74,1.22E+06,245.15,4.99E+05,377.8,7.69E+05,140.12,2.85E+05,,
122717Spry_BJ6,51,ICM,I,7962,87,210,24,1305.925,,645.122,,239.905,,386.538,,144.074,,,
122717Spry_BJ6,51.2,ICM,I,7962,106,192,27,853.576,,793.437,,54.648,,325.123,,502.344,,,
