Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum
041817Spry_AI5,37,TE,I,6555,61.704,248.51,34.761,1260.9,8.27E+06,28.557,1.87E+05,34.77,2.28E+05,1013.6,6.64E+06,87.681,5.75E+05
041817Spry_AI5,38,TE,I,12971,353.72,340.2,36.528,1508.2,1.96E+07,31.097,4.03E+05,26.839,3.48E+05,1033,1.34E+07,74.985,9.73E+05
041817Spry_AI5,39,ICM,I,9803,118.42,304.42,36.982,982.69,9.63E+06,22.601,2.22E+05,54.265,5.32E+05,1035.1,1.01E+07,382.42,3.75E+06
041817Spry_AI5,40,ICM,M,12960,127.77,255.14,39.764,692.11,8.97E+06,19.462,2.52E+05,39.955,5.18E+05,1049.4,1.36E+07,93.691,1.21E+06
041817Spry_AI5,41,ICM,I,8083,105.67,209.99,38.015,674.85,5.45E+06,25.74,2.08E+05,179.36,1.45E+06,980.03,7.92E+06,86.993,7.03E+05
041817Spry_AI5,42,ICM,I,12824,88.15,272.31,42.383,736.46,9.44E+06,21.987,2.82E+05,311.68,4.00E+06,988.48,1.27E+07,53.638,6.88E+05
041817Spry_AI5,43,ICM,I,8375,147.65,300.79,44.101,578.95,4.85E+06,18.405,1.54E+05,27.938,2.34E+05,1016,8.51E+06,255.56,2.14E+06
041817Spry_AI5,44,TE,I,9081,95.982,182.72,46.32,528.2,4.80E+06,17.894,1.62E+05,23.714,2.15E+05,993.02,9.02E+06,66.178,6.01E+05
041817Spry_AI5,45,TE,I,13453,384.42,325.74,48.339,1539.7,2.07E+07,23.847,3.21E+05,21.193,2.85E+05,1003.1,1.35E+07,63.284,8.51E+05
041817Spry_AI5,46,TE,I,7305,197.99,121.58,47.335,1421.3,1.04E+07,24.42,1.78E+05,21.822,1.59E+05,1064.9,7.78E+06,80.882,5.91E+05
041817Spry_AI5,47,TE,I,13064,370.06,174.92,48.986,1614.5,2.11E+07,24.512,3.20E+05,22.428,2.93E+05,1036.1,1.35E+07,47.481,6.20E+05
041817Spry_AI5,48,ICM,I,7844,162.95,140.4,47.572,968.03,7.59E+06,20.787,1.63E+05,27.335,2.14E+05,1099.5,8.62E+06,345.77,2.71E+06
041817Spry_AI5,50,TE,I,11588,310.86,137.71,51.135,1530.2,1.77E+07,23.468,2.72E+05,22.221,2.58E+05,986.15,1.14E+07,47.321,5.48E+05
041817Spry_AI5,51,ICM,I,27779,117,319,47,769.135,,23.82,,414.553,,981.777,,83.711,
041817Spry_AI5,51.2,TE,I,27779,127,317,57,645.91,,18.456,,80.988,,967.414,,241.313,
041817Spry_AI5,52,TE,I,8674,76.597,295.51,50.446,575.9,5.00E+06,19.694,1.71E+05,35.584,3.09E+05,986.06,8.55E+06,69.826,6.06E+05
041817Spry_AI5,53,ICM,I,6496,92.563,228.08,49.075,473.28,3.07E+06,19.444,1.26E+05,52.57,3.42E+05,901.51,5.86E+06,180.45,1.17E+06
